circuit,circuit_path,initial_area,final_area,area_reduction,area_reduction_pct
misg.aag,testcase/MCNC/misg/misg.aag,65,63,2,3.076923076923077
mish.aag,testcase/MCNC/mish/mish.aag,88,86,2,2.272727272727273
misj.aag,testcase/MCNC/misj/misj.aag,36,36,0,0.0
mlp4.aag,testcase/MCNC/mlp4/mlp4.aag,252,247,5,1.984126984126984
mp2d.aag,testcase/MCNC/mp2d/mp2d.aag,53,53,0,0.0
mux.aag,testcase/MCNC/mux/mux.aag,46,46,0,0.0
my_adder.aag,testcase/MCNC/my_adder/my_adder.aag,152,138,14,9.210526315789473
newapla.aag,testcase/MCNC/newapla/newapla.aag,36,36,0,0.0
newapla1.aag,testcase/MCNC/newapla1/newapla1.aag,22,22,0,0.0
newapla2.aag,testcase/MCNC/newapla2/newapla2.aag,15,15,0,0.0
newbyte.aag,testcase/MCNC/newbyte/newbyte.aag,16,16,0,0.0
newcond.aag,testcase/MCNC/newcond/newcond.aag,41,37,4,9.75609756097561
newcpla1.aag,testcase/MCNC/newcpla1/newcpla1.aag,83,79,4,4.819277108433735
newcpla2.aag,testcase/MCNC/newcpla2/newcpla2.aag,48,47,1,2.083333333333333
newcwp.aag,testcase/MCNC/newcwp/newcwp.aag,14,14,0,0.0
newill.aag,testcase/MCNC/newill/newill.aag,21,21,0,0.0
newtag.aag,testcase/MCNC/newtag/newtag.aag,9,9,0,0.0
newtpla.aag,testcase/MCNC/newtpla/newtpla.aag,63,50,13,20.634920634920633
newtpla1.aag,testcase/MCNC/newtpla1/newtpla1.aag,13,13,0,0.0
newtpla2.aag,testcase/MCNC/newtpla2/newtpla2.aag,22,22,0,0.0
newxcpla1.aag,testcase/MCNC/newxcpla1/newxcpla1.aag,74,74,0,0.0
o64.aag,testcase/MCNC/o64/o64.aag,129,129,0,0.0
opa.aag,testcase/MCNC/opa/opa.aag,792,606,186,23.484848484848484
p82.aag,testcase/MCNC/p82/p82.aag,73,73,0,0.0
pair.aag,testcase/MCNC/pair/pair.aag,1260,1250,10,0.7936507936507936
parity.aag,testcase/MCNC/parity/parity.aag,84,45,39,46.42857142857143
pcle.aag,testcase/MCNC/pcle/pcle.aag,48,48,0,0.0
pcler8.aag,testcase/MCNC/pcler8/pcler8.aag,71,66,5,7.042253521126761
pdc.aag,testcase/MCNC/pdc/pdc.aag,1621,975,646,39.85194324491055
pm1.aag,testcase/MCNC/pm1/pm1.aag,30,30,0,0.0
pope.aag,testcase/MCNC/pope/pope.aag,309,306,3,0.9708737864077669
prom1.aag,testcase/MCNC/prom1/prom1.aag,3316,3302,14,0.4221954161640531
prom2.aag,testcase/MCNC/prom2/prom2.aag,1572,1571,1,0.06361323155216285
rd53.aag,testcase/MCNC/rd53/rd53.aag,25,24,1,4.0
rd73.aag,testcase/MCNC/rd73/rd73.aag,65,62,3,4.615384615384616
rd84.aag,testcase/MCNC/rd84/rd84.aag,85,79,6,7.0588235294117645
risc.aag,testcase/MCNC/risc/risc.aag,57,57,0,0.0
root.aag,testcase/MCNC/root/root.aag,150,149,1,0.6666666666666667
rot.aag,testcase/MCNC/rot/rot.aag,550,481,69,12.545454545454545
ryy6.aag,testcase/MCNC/ryy6/ryy6.aag,16,16,0,0.0
sao2.aag,testcase/MCNC/sao2/sao2.aag,144,144,0,0.0
sct.aag,testcase/MCNC/sct/sct.aag,50,50,0,0.0
seq.aag,testcase/MCNC/seq/seq.aag,2411,1847,564,23.392783077561177
sex.aag,testcase/MCNC/sex/sex.aag,36,36,0,0.0
shift.aag,testcase/MCNC/shift/shift.aag,2908,2810,98,3.370013755158184
signet.aag,testcase/MCNC/signet/signet.aag,297,270,27,9.090909090909092
soar.aag,testcase/MCNC/soar/soar.aag,724,534,190,26.243093922651934
spla.aag,testcase/MCNC/spla/spla.aag,1747,969,778,44.53348597595878
spla_abc.aag,testcase/MCNC/spla/spla_abc.aag,1747,969,778,44.53348597595878
sqn.aag,testcase/MCNC/sqn/sqn.aag,105,105,0,0.0
sqr6.aag,testcase/MCNC/sqr6/sqr6.aag,91,91,0,0.0
sqrt8.aag,testcase/MCNC/sqrt8/sqrt8.aag,51,51,0,0.0
squar5.aag,testcase/MCNC/squar5/squar5.aag,50,46,4,8.0
t.aag,testcase/MCNC/t/t.aag,6,6,0,0.0
t1.aag,testcase/MCNC/t1/t1.aag,130,120,10,7.6923076923076925
t2.aag,testcase/MCNC/t2/t2.aag,213,144,69,32.3943661971831
t3.aag,testcase/MCNC/t3/t3.aag,69,65,4,5.797101449275362
t4.aag,testcase/MCNC/t4/t4.aag,169,117,52,30.76923076923077
t481.aag,testcase/MCNC/t481/t481.aag,441,436,5,1.1337868480725624
table3.aag,testcase/MCNC/table3/table3.aag,2183,1680,503,23.04168575355016
table5.aag,testcase/MCNC/table5/table5.aag,1987,1511,476,23.955712128837444
tcon.aag,testcase/MCNC/tcon/tcon.aag,24,24,0,0.0
term1.aag,testcase/MCNC/term1/term1.aag,130,118,12,9.230769230769232
ti.aag,testcase/MCNC/ti/ti.aag,1204,929,275,22.840531561461795
tms.aag,testcase/MCNC/tms/tms.aag,246,228,18,7.317073170731707
too_large.aag,testcase/MCNC/too_large/too_large.aag,824,495,329,39.92718446601942
ts10.aag,testcase/MCNC/ts10/ts10.aag,210,150,60,28.57142857142857
ttt2.aag,testcase/MCNC/ttt2/ttt2.aag,140,137,3,2.142857142857143
unreg.aag,testcase/MCNC/unreg/unreg.aag,97,97,0,0.0
vda.aag,testcase/MCNC/vda/vda.aag,924,685,239,25.865800865800864
vg2.aag,testcase/MCNC/vg2/vg2.aag,157,126,31,19.745222929936308
vtx1.aag,testcase/MCNC/vtx1/vtx1.aag,156,122,34,21.794871794871796
wim.aag,testcase/MCNC/wim/wim.aag,48,29,19,39.58333333333333
x1.aag,testcase/MCNC/x1/x1.aag,377,275,102,27.055702917771885
x1dn.aag,testcase/MCNC/x1dn/x1dn.aag,156,122,34,21.794871794871796
x2.aag,testcase/MCNC/x2/x2.aag,35,35,0,0.0
x2dn.aag,testcase/MCNC/x2dn/x2dn.aag,232,173,59,25.43103448275862
x3.aag,testcase/MCNC/x3/x3.aag,604,604,0,0.0
x4.aag,testcase/MCNC/x4/x4.aag,443,307,136,30.699774266365687
x6dn.aag,testcase/MCNC/x6dn/x6dn.aag,512,375,137,26.7578125
x7dn.aag,testcase/MCNC/x7dn/x7dn.aag,518,413,105,20.27027027027027
x9dn.aag,testcase/MCNC/x9dn/x9dn.aag,156,122,34,21.794871794871796
xor5.aag,testcase/MCNC/xor5/xor5.aag,18,12,6,33.33333333333333
xparc.aag,testcase/MCNC/xparc/xparc.aag,5105,3278,1827,35.78844270323213
z4ml.aag,testcase/MCNC/z4ml/z4ml.aag,24,24,0,0.0
adder_16b_csel_m5.aag,testcase/Synthetic/adder_16b_csel_m5/adder_16b_csel_m5.aag,160,155,5,3.125
adder_16b_ripple_m2.aag,testcase/Synthetic/adder_16b_ripple_m2/adder_16b_ripple_m2.aag,112,112,0,0.0
adder_16b_ripple_m8.aag,testcase/Synthetic/adder_16b_ripple_m8/adder_16b_ripple_m8.aag,112,112,0,0.0
adder_32b_csel_m6.aag,testcase/Synthetic/adder_32b_csel_m6/adder_32b_csel_m6.aag,363,332,31,8.539944903581267
adder_32b_ripple_m3.aag,testcase/Synthetic/adder_32b_ripple_m3/adder_32b_ripple_m3.aag,224,224,0,0.0
adder_8b_csel_m4.aag,testcase/Synthetic/adder_8b_csel_m4/adder_8b_csel_m4.aag,76,74,2,2.631578947368421
adder_8b_ripple_m1.aag,testcase/Synthetic/adder_8b_ripple_m1/adder_8b_ripple_m1.aag,56,56,0,0.0
adder_8b_ripple_m7.aag,testcase/Synthetic/adder_8b_ripple_m7/adder_8b_ripple_m7.aag,56,56,0,0.0
aig_mix_1_vl1.aag,testcase/Synthetic/aig_mix_1_vl1/aig_mix_1_vl1.aag,188,155,33,17.5531914893617
aig_mix_2_vl2.aag,testcase/Synthetic/aig_mix_2_vl2/aig_mix_2_vl2.aag,211,175,36,17.061611374407583
aig_mix_3_vl3.aag,testcase/Synthetic/aig_mix_3_vl3/aig_mix_3_vl3.aag,262,229,33,12.595419847328243
aig_mix_4_vl4.aag,testcase/Synthetic/aig_mix_4_vl4/aig_mix_4_vl4.aag,278,254,24,8.633093525179856
aig_mix_5_vl5.aag,testcase/Synthetic/aig_mix_5_vl5/aig_mix_5_vl5.aag,395,332,63,15.949367088607595
aig_mix_6_vl6.aag,testcase/Synthetic/aig_mix_6_vl6/aig_mix_6_vl6.aag,374,326,48,12.834224598930483
aig_mix_7_vl7.aag,testcase/Synthetic/aig_mix_7_vl7/aig_mix_7_vl7.aag,432,375,57,13.194444444444445
aig_mix_8_vl8.aag,testcase/Synthetic/aig_mix_8_vl8/aig_mix_8_vl8.aag,550,442,108,19.636363636363637
conv_3x3_4ch_vl1.aag,testcase/Synthetic/conv_3x3_4ch_vl1/conv_3x3_4ch_vl1.aag,4833,4574,259,5.358990275191392
conv_3x3_4ch_vl5.aag,testcase/Synthetic/conv_3x3_4ch_vl5/conv_3x3_4ch_vl5.aag,4833,4574,259,5.358990275191392
conv_3x3_8ch_vl3.aag,testcase/Synthetic/conv_3x3_8ch_vl3/conv_3x3_8ch_vl3.aag,9097,8736,361,3.9683412113883696
conv_5x5_4ch_vl2.aag,testcase/Synthetic/conv_5x5_4ch_vl2/conv_5x5_4ch_vl2.aag,13988,13387,601,4.2965398913354305
conv_5x5_4ch_vl6.aag,testcase/Synthetic/conv_5x5_4ch_vl6/conv_5x5_4ch_vl6.aag,13988,13387,601,4.2965398913354305
conv_5x5_8ch_vl4.aag,testcase/Synthetic/conv_5x5_8ch_vl4/conv_5x5_8ch_vl4.aag,26174,25054,1120,4.279055551310461
cordic_16b_l2.aag,testcase/Synthetic/cordic_16b_l2/cordic_16b_l2.aag,4774,4054,720,15.081692501047339
cordic_8b_l5.aag,testcase/Synthetic/cordic_8b_l5/cordic_8b_l5.aag,1412,1169,243,17.209631728045327
decoder_2to4_s1.aag,testcase/Synthetic/decoder_2to4_s1/decoder_2to4_s1.aag,6,6,0,0.0
decoder_2to4_s4.aag,testcase/Synthetic/decoder_2to4_s4/decoder_2to4_s4.aag,6,6,0,0.0
decoder_3to8_s2.aag,testcase/Synthetic/decoder_3to8_s2/decoder_3to8_s2.aag,14,14,0,0.0
decoder_3to8_s5.aag,testcase/Synthetic/decoder_3to8_s5/decoder_3to8_s5.aag,14,14,0,0.0
decoder_4to16_s3.aag,testcase/Synthetic/decoder_4to16_s3/decoder_4to16_s3.aag,34,34,0,0.0
decoder_4to16_s6.aag,testcase/Synthetic/decoder_4to16_s6/decoder_4to16_s6.aag,34,34,0,0.0
div_16b_l3.aag,testcase/Synthetic/div_16b_l3/div_16b_l3.aag,1445,1367,78,5.397923875432526
div_8b_l6.aag,testcase/Synthetic/div_8b_l6/div_8b_l6.aag,328,316,12,3.6585365853658534
encoder_16to4_s3.aag,testcase/Synthetic/encoder_16to4_s3/encoder_16to4_s3.aag,41,41,0,0.0
encoder_16to4_s6.aag,testcase/Synthetic/encoder_16to4_s6/encoder_16to4_s6.aag,41,41,0,0.0
encoder_4to2_s1.aag,testcase/Synthetic/encoder_4to2_s1/encoder_4to2_s1.aag,7,7,0,0.0
encoder_4to2_s4.aag,testcase/Synthetic/encoder_4to2_s4/encoder_4to2_s4.aag,7,7,0,0.0
encoder_8to3_s2.aag,testcase/Synthetic/encoder_8to3_s2/encoder_8to3_s2.aag,18,18,0,0.0
